iter	Logloss
0	0.6869247273
1	0.6808332011
2	0.6755742886
3	0.6700831988
4	0.6651174956
5	0.6605713017
6	0.6550246852
7	0.6504546344
8	0.6457673125
9	0.6393371554
10	0.6340432395
11	0.6291414575
12	0.6254700607
13	0.6202397141
14	0.6146496885
15	0.6099500193
16	0.6057257871
17	0.6015461824
18	0.5974155629
19	0.5923101156
20	0.5883539037
21	0.5842233601
22	0.580376114
23	0.5759921009
24	0.5731091712
25	0.5700816495
26	0.5662582552
27	0.5619424318
28	0.558261283
29	0.5550002316
30	0.5518514993
31	0.5479572843
32	0.5442498808
33	0.540373438
34	0.5375244498
35	0.5345285761
36	0.5308061215
37	0.5267653683
38	0.5232706261
39	0.5202746809
40	0.5175474058
41	0.514411345
42	0.5115493449
43	0.5075565221
44	0.5046975252
45	0.5028023261
46	0.4996592838
47	0.4976415066
48	0.4948154089
49	0.4924114768
50	0.4895843009
51	0.487486713
52	0.4856988668
53	0.4830738371
54	0.4808055051
55	0.4785842943
56	0.476060348
57	0.4741429435
58	0.4720218007
59	0.4693188693
60	0.4670988898
61	0.4644240859
62	0.4618153573
63	0.4593213246
64	0.4573818818
65	0.4549886078
66	0.4519473444
67	0.4502692361
68	0.4482063645
69	0.4468779222
70	0.4446528578
71	0.4433142476
72	0.4413197768
73	0.4386177762
74	0.4361249824
75	0.4339268995
76	0.4318452078
77	0.4302911837
78	0.428523776
79	0.4265933175
80	0.4252151994
81	0.4236289351
82	0.4213928459
83	0.4193416767
84	0.4178179157
85	0.4157241402
86	0.4141972963
87	0.4115013061
88	0.4096686019
89	0.4077628925
90	0.4063312973
91	0.4047224492
92	0.4036039807
93	0.4018357958
94	0.400659876
95	0.3986666477
96	0.3971367937
97	0.3952510344
98	0.3931502542
99	0.3915985725
100	0.3897789566
101	0.3883932937
102	0.3866264526
103	0.3849010948
104	0.3831265543
105	0.3822444131
106	0.3813764598
107	0.3797182891
108	0.3784779909
109	0.3774576923
110	0.3763167558
111	0.3749990798
112	0.3736577495
113	0.3726310272
114	0.3715307382
115	0.3705356254
116	0.3694648851
117	0.3678943486
118	0.3665253598
119	0.3650530504
120	0.3635925562
121	0.3620269714
122	0.3604756213
123	0.3590958868
124	0.3581759368
125	0.3567508161
126	0.3551101459
127	0.3538631763
128	0.3524042731
129	0.3515893256
130	0.3501634099
131	0.3489217361
132	0.3478612961
133	0.3465276555
134	0.3455236806
135	0.3444724833
136	0.3431946803
137	0.3421711208
138	0.3407952225
139	0.3396885
140	0.3383013387
141	0.3371012552
142	0.3359144333
143	0.3347914445
144	0.3334822141
145	0.3327949509
146	0.3317838417
147	0.3308681835
148	0.3300791147
149	0.329070383
150	0.3282833292
151	0.3271467302
152	0.3267619136
153	0.3258668324
154	0.324703697
155	0.323956754
156	0.3230386792
157	0.3222011601
158	0.3213534879
159	0.3203669454
160	0.3193098252
161	0.3185585655
162	0.3178888493
163	0.3166477175
164	0.3159001338
165	0.3146890142
166	0.314008703
167	0.3132002245
168	0.3121078835
169	0.3113066204
170	0.3103839068
171	0.3096697075
172	0.3088847418
173	0.3080713801
174	0.3070411003
175	0.3064017028
176	0.3051702271
177	0.3043741944
178	0.3036946462
179	0.3030356783
180	0.3016565768
181	0.3008741936
182	0.3004160689
183	0.2997520947
184	0.2987597424
185	0.2978737932
186	0.2973698231
187	0.2964873968
188	0.2958282939
189	0.2951841443
190	0.2942109912
191	0.2932730732
192	0.2926845863
193	0.2916949245
194	0.2911663723
195	0.2904570228
196	0.2895839855
197	0.2889236771
198	0.2883631675
199	0.2872733517
200	0.2867154828
201	0.2857130751
202	0.2850897178
203	0.2843170511
204	0.2837730902
205	0.2829550129
206	0.2823128322
207	0.2816739521
208	0.2809773322
209	0.280441236
210	0.2799106151
211	0.2793391521
212	0.278695802
213	0.2778839534
214	0.276958454
215	0.2765291017
216	0.2759683062
217	0.2752489962
218	0.2746039302
219	0.2739308409
220	0.2734464985
221	0.2723577542
222	0.2718120347
223	0.2710538719
224	0.2702696578
225	0.2696604225
226	0.2690599581
227	0.268080343
228	0.267631516
229	0.2668816045
230	0.2662209092
231	0.2655613307
232	0.2649052488
233	0.2641540162
234	0.2632661043
235	0.2626198493
236	0.2620517747
237	0.261443404
238	0.2607782978
239	0.2599978501
240	0.2595838871
241	0.2590368379
242	0.2585768668
243	0.2579269912
244	0.2569176102
245	0.2565260351
246	0.2559107856
247	0.255309583
248	0.2546083144
249	0.2539729012
250	0.2535263956
251	0.2531436008
252	0.2524608113
253	0.2521266583
254	0.2514916889
255	0.2509110748
256	0.2504857376
257	0.250166525
258	0.2494878623
259	0.2492281709
260	0.2484297354
261	0.2478116637
262	0.2471600693
263	0.2465677796
264	0.2457861181
265	0.2450017075
266	0.2444605286
267	0.2439465587
268	0.2435409018
269	0.2432071628
270	0.2428264032
271	0.242357911
272	0.2417356564
273	0.241249485
274	0.2408877532
275	0.2404904967
276	0.2402327388
277	0.2396369416
278	0.2391029235
279	0.2388730436
280	0.2384613518
281	0.2380540107
282	0.2375331577
283	0.2368653054
284	0.236573813
285	0.2359173508
286	0.2355113875
287	0.2351080291
288	0.2346605209
289	0.2345176858
290	0.2340548186
291	0.2335566983
292	0.2333645786
293	0.2327561863
294	0.2323900179
295	0.2317193262
296	0.2313123108
297	0.2308271325
298	0.2302849961
299	0.2297651572
300	0.2292457346
301	0.2288199502
302	0.2284337414
303	0.2278733252
304	0.2274282259
305	0.2270717693
306	0.226752972
307	0.2263678071
308	0.2258294185
309	0.2254837853
310	0.2251476122
311	0.2245486575
312	0.2240503166
313	0.2237839182
314	0.2232931629
315	0.2230283906
316	0.2225051752
317	0.2219666707
318	0.2216109828
319	0.2212943504
320	0.2206944749
321	0.2202730729
322	0.219841952
323	0.2194609666
324	0.219178361
325	0.2186964661
326	0.2180833597
327	0.2176733439
328	0.2170563995
329	0.2167302089
330	0.2160458942
331	0.2153977691
332	0.2150521883
333	0.2147345062
334	0.2143717126
335	0.213984995
336	0.2136308662
337	0.2130285496
338	0.2127782887
339	0.2123633481
340	0.2119780383
341	0.211450721
342	0.2110433858
343	0.210671276
344	0.2102880739
345	0.2100813716
346	0.2098359684
347	0.2095180984
348	0.2092111298
349	0.2089500746
350	0.208517032
351	0.2082723869
352	0.2080387424
353	0.2077305322
354	0.2074031029
355	0.207079147
356	0.206834996
357	0.2065487682
358	0.2063150383
359	0.2059368086
360	0.2056280937
361	0.2053222446
362	0.2050072068
363	0.2046713162
364	0.2043431197
365	0.2042270553
366	0.2037329808
367	0.2035970611
368	0.2034090756
369	0.2030333938
370	0.2027217627
371	0.2023987646
372	0.2021358441
373	0.2018444437
374	0.2016446434
375	0.2014357767
376	0.20120538
377	0.200763519
378	0.2002929147
379	0.1998221728
380	0.1994156038
381	0.1992548911
382	0.1991546328
383	0.1987866718
384	0.1985050956
385	0.1979619253
386	0.1977953196
387	0.1973634724
388	0.1970477977
389	0.1967895694
390	0.1965375803
391	0.1961100789
392	0.1958406243
393	0.1954743503
394	0.1951473035
395	0.1944173144
396	0.1940269327
397	0.1938164389
398	0.1934355635
399	0.1928788654
400	0.192368194
401	0.1920143093
402	0.1918377876
403	0.1912553859
404	0.1909723859
405	0.1907043904
406	0.1904291276
407	0.1899928489
408	0.1896464045
409	0.1894060508
410	0.189251862
411	0.1888804742
412	0.1883858947
413	0.1879808213
414	0.187794962
415	0.1874551367
416	0.1871599852
417	0.1868358207
418	0.1863819412
419	0.1862913594
420	0.1858568579
421	0.1856583598
422	0.1854529992
423	0.1853062182
424	0.1848226779
425	0.184677667
426	0.184377965
427	0.1840891555
428	0.1837977989
429	0.1836147124
430	0.1832040102
431	0.1829801693
432	0.1826703288
433	0.1823628496
434	0.1821347693
435	0.1817751319
436	0.1813963488
437	0.1808305233
438	0.1804675319
439	0.1801317899
440	0.1799640186
441	0.1799397588
442	0.1797268805
443	0.1794238348
444	0.1793127198
445	0.17914475
446	0.178967606
447	0.1787385471
448	0.1787007093
449	0.1785126252
450	0.178458822
451	0.178036363
452	0.1777607067
453	0.1776282357
454	0.1774750185
455	0.1772360927
456	0.1770310922
457	0.1769087516
458	0.1765450624
459	0.1762257911
460	0.1759553473
461	0.1758260165
462	0.1755151992
463	0.1751104537
464	0.1748485472
465	0.1745636141
466	0.1742275698
467	0.1739835944
468	0.1735820695
469	0.1732545118
470	0.1730539954
471	0.1727517943
472	0.1726958266
473	0.1723027161
474	0.1720649213
475	0.1718963454
476	0.1715951234
477	0.1713170491
478	0.1711075107
479	0.1709212708
480	0.1708100415
481	0.1706041567
482	0.1704182077
483	0.1701404074
484	0.1700489293
485	0.1697742525
486	0.1694895992
487	0.1691787098
488	0.1689045456
489	0.1686802832
490	0.168445416
491	0.1680959741
492	0.1678257433
493	0.1674696046
494	0.1672211862
495	0.1668987701
496	0.16674495
497	0.1664371797
498	0.1662624399
499	0.1659787741
500	0.1656758678
501	0.1655323864
502	0.1653836393
503	0.1650655423
504	0.1646430268
505	0.1646009644
506	0.164495779
507	0.1640814397
508	0.1639026932
509	0.1637414591
510	0.1635241892
511	0.1632733962
512	0.1630378977
513	0.1627514715
