iter	Passed	Remaining
0	2	5258
1	4	4672
2	6	4415
3	8	4373
4	10	4338
5	12	4281
6	14	4238
7	16	4266
8	18	4259
9	20	4200
10	22	4195
11	24	4227
12	26	4220
13	28	4203
14	30	4196
15	33	4192
16	35	4192
17	37	4182
18	39	4168
19	41	4187
20	43	4197
21	45	4201
22	47	4202
23	49	4191
24	51	4178
25	53	4184
26	56	4198
27	58	4190
28	59	4173
29	62	4175
30	64	4167
31	66	4165
32	68	4163
33	70	4160
34	72	4160
35	74	4165
36	76	4160
37	78	4151
38	80	4145
39	82	4142
40	84	4138
41	86	4129
42	88	4129
43	90	4121
44	92	4114
45	94	4104
46	96	4092
47	98	4096
48	100	4094
49	102	4092
50	104	4093
51	106	4086
52	108	4079
53	110	4073
54	112	4071
55	114	4066
56	116	4064
57	118	4057
58	120	4054
59	122	4049
60	124	4043
61	126	4045
62	128	4056
63	130	4054
64	132	4057
65	135	4057
66	137	4055
67	139	4050
68	141	4049
69	143	4045
70	145	4046
71	147	4044
72	149	4042
73	151	4043
74	153	4042
75	155	4043
76	157	4043
77	160	4042
78	162	4040
79	164	4037
80	165	4030
81	168	4030
82	170	4028
83	172	4027
84	174	4023
85	176	4019
86	178	4020
87	180	4020
88	182	4023
89	184	4021
90	186	4020
91	189	4018
92	191	4016
93	193	4012
94	195	4010
95	197	4008
96	199	4005
97	201	4002
98	203	3999
99	205	3997
100	207	3995
101	209	3994
102	211	3991
103	213	3991
104	215	3989
105	217	3987
106	219	3986
107	221	3981
108	223	3979
109	225	3974
110	227	3973
111	229	3970
112	232	3975
113	234	3974
114	236	3972
115	238	3974
116	240	3970
117	242	3967
118	244	3961
119	246	3960
120	248	3957
121	250	3956
122	252	3954
123	254	3952
124	256	3947
125	258	3944
126	260	3940
127	262	3935
128	264	3931
129	266	3929
130	268	3926
131	270	3921
132	271	3916
133	273	3911
134	275	3906
135	277	3904
136	279	3902
137	281	3900
138	283	3898
139	285	3896
140	288	3896
141	290	3892
142	291	3887
143	293	3883
144	295	3880
145	297	3879
146	299	3877
147	301	3874
148	303	3868
149	305	3865
150	307	3861
151	309	3862
152	311	3863
153	313	3861
154	315	3858
155	317	3854
156	319	3852
157	321	3850
158	323	3846
159	325	3843
160	327	3841
161	329	3839
162	331	3836
163	333	3833
164	335	3828
165	337	3826
166	339	3824
167	341	3822
168	343	3817
169	345	3814
170	347	3810
171	348	3806
172	350	3802
173	352	3799
